Current (Our) Label,NCBI Taxdump closest fuzzy-match label,Edit distance,NCBI Taxonomy number,Manual checking,Current accepted name,
Catellibaoterfum nectariphilum,Gemmobacter nectariphilus,11,220343,CORRECT,,
Clostridium difficile,Peptoclostridium difficile,1,1496,CORRECT,,
Clostridium ramosum,Erysipelatoclostridium ramosum,1,1547,CORRECT,,
Desulfnvilwio mlexigem,Desulfovibrio salexigens,6,880,CORRECT,,
Ensifer kummerowiae,Sinorhizobium kummerowiae,6,158892,CORRECT,,
Enterobacter sakazakii,Cronobacter sakazakii,4,28141,CORRECT,,
Enterobaoter oanoerogenus,Enterobacter cancerogenus,3,69218,CORRECT,,
Eqvlicrobacterium lacticum,Microbacterium lacticum,4,33885,CORRECT,,
Flammeavfrga apnea,Flammeovirga arenaria,5,1025,CORRECT,,
Flavobacterium mizutaii,Sphingobacterium mizutaii,4,1010,CORRECT,,
Flexibucfer raseulus,Flexibacter roseolus,4,1002,CORRECT,,
Flhodovibrio sodomensis,Rhodovibrio sodomensis,2,1088,CORRECT,,
Haloielligena hispanlca,Haloterrigena hispanica,4,392421,CORRECT,,
Hongiella mannitolivorans,Algoriphagus mannitolivorans,8,226504,CORRECT,,
Hongiella ornithinivorans,Algoriphagus ornithinivorans,8,226506,CORRECT,,
Humibacter oleicus,Humibacter albus,4,427754,CORRECT,,
Klebsfella terrigena,Raoultella terrigena,5,577,CORRECT,,
Klebsiella omithinolylica,Raoultella ornithinolytica,8,54291,CORRECT,,
Klebsiella ornithinolytica,Raoultella ornithinolytica,5,54291,CORRECT,,
Laws methylaminiphilus,Labrys methylaminiphilus,3,298598,CORRECT,,
Maribacfer sedfmenffcwa,Maribacter sedimenticola,6,228956,CORRECT,,
Marinibacillus marinus,Jeotgalibacillus marinus,4,86667,CORRECT,,
Mfcromonospora mziobrxyensis,Micromonospora mirobrigensis,5,262898,CORRECT,,
Microbispora chromogenes,Microbispora rosea subsp. rosea,7,58118,CORRECT,,
Murlcauda ruestrmgensls,Muricauda ruestringensis,4,111501,CORRECT,,
Naumovia dairenensis,Naumovozyma dairenensis,4,27289,CORRECT,,
Nfaszella koreensfs,Niastella koreensis,3,354356,CORRECT,,
Ngorfphagus lerrigena,Algoriphagus terrigena,3,344884,CORRECT,,
Ngorfphagus ornfthfnfvorans,Algoriphagus ornithinivorans,5,226506,CORRECT,,
Ngorfphagus winogradskyf,Algoriphagus winogradskyi,3,237017,CORRECT,,
Pelaglbaclllus gorlensls,Terribacillus goriensis,8,386490,CORRECT,,
Phyllobacterium rubiacearum,Phyllobacterium myrsinacearum,5,28101,CORRECT,,
Pichia glucozyma,Ogataea glucozyma,5,36023,CORRECT,,
Pichia strasburgensis,Wickerhamomyces strasburgensis,5,53604,CORRECT,,
Pichia thennomethanolica,Ogataea thermomethanolica,7,310468,CORRECT,,
Pichia thermomethanolica,Ogataea thermomethanolica,5,310468,CORRECT,,
Pilmcella panti,Pibocella ponti,3,270920,CORRECT,,
Planctomyces limnophilus,Planctopirus limnophila,6,120,CORRECT,,
Planobacterium taklimakanense,Chryseobacterium taklimakanense,4,536441,CORRECT,,
Polarfbacterfilamentus strain,Polaribacter filamentus,9,53483,CORRECT,,
Proprinogenum modestus,Propionigenium modestum,5,2333,CORRECT,,
Pseudidiomarina sediminum,Idiomarina sediminum,6,431675,CORRECT,,
Pseudoaltemmonas umiina,Pseudoalteromonas undina,4,43660,CORRECT,,
Pseudochlobactrum glaciei,Paenochrobactrum glaciei,4,486407,CORRECT,,
Pseudomonas testosteroni,Comamonas testosteroni,6,285,CORRECT,,
Rhodobacter changlensis,Cereibacter changlensis,5,402884,CORRECT,,
Rhodococcus modochnous,Rhodococcus rhodochrous,3,1829,CORRECT,,
Roseivirga seohaensis,Roseivirga ehrenbergii,6,279360,CORRECT,,
Saccharococcus caldoxylosilyticus,Geobacillus caldoxylosilyticus,10,81408,CORRECT,,
Salibacillus salexigens,Virgibacillus salexigens,3,61016,CORRECT,,
Salmonella choleraesuis,Salmonella enterica subsp. enterica serovar Gallinarum,8,594,CORRECT,,
Singularimonas variicoloris,Solimonas variicoloris,6,254408,CORRECT,,
Spambalomyces ruberrimus,Sporobolomyces ruberrimus,4,86828,CORRECT,,
Sphingomonas taejonensis,Sphingopyxis taejonensis,4,93065,CORRECT,,
Sphingomonas yanoikuyae,Sphingobium yanoikuyae,5,13690,CORRECT,,
Spirochaeta stenostrepta,Treponema stenostreptum,8,152,CORRECT,,
Staleya guttiformfs,Sulfitobacter guttiformis,6,74349,CORRECT,,
Staleya guttiformis,Sulfitobacter guttiformis,5,74349,CORRECT,,
Stephanoascus farinosus,Trichomonascus farinosus,7,44087,CORRECT,,
Syntrophospora bryantii,Syntrophomonas bryantii,4,2082,CORRECT,,
Tannerella forsythensis,Tannerella forsythia,4,28112,CORRECT,,
Teichococcus ludipueritiae,Roseomonas ludipueritiae,8,198093,CORRECT,,
Tetrathiobacter mimigardefordensis,Advenella mimigardefordensis,13,302406,CORRECT,,
Thalassomonas ganghwensis,Thalassotalea ganghwensis,5,221989,CORRECT,,
Tnbhosporon debeurmannianum,Trichosporon debeurmannianum,3,129131,CORRECT,,
Tsnacfbaculum mantlmum,Tenacibaculum maritimum,5,107401,CORRECT,,
Vanbvorax paradoxus,Variovorax paradoxus,3,34073,CORRECT,,
Vandenzvaltozyma polyspora,Vanderwaltozyma polyspora,3,36033,CORRECT,,
Vfrgfbacfllus dokdonensis,Virgibacillus dokdonensis,3,302167,CORRECT,,
Virgibacillus halodenitrmcans,Virgibacillus halodenitrificans,3,1482,CORRECT,,
Vwlliamsia mumlis,Williamsia muralis,4,85044,CORRECT,,
Wickernarnieila dornercqiae,Wickerhamiella domercqiae,6,45788,CORRECT,,
Wolfnelln succilzngenex,Wolinella succinogenes,6,844,CORRECT,,
Zymophilus raffinosivorans,Propionispira raffinosivorans,8,86959,CORRECT,,
c  aquilae,Corynebacterium aquilae,2,203263,CORRECT,,
c  callunae,Corynebacterium callunae,2,1721,CORRECT,,
c  efficiens,Corynebacterium efficiens,2,152794,CORRECT,,
c  freneyi,Corynebacterium freneyi,2,134034,CORRECT,,
c  histolyticum,Clostridium histolyticum,2,1498,CORRECT,,
c  pascui,Clostridium pascui,2,46609,CORRECT,,
c  proteolyticum,Clostridium proteolyticum,2,29365,CORRECT,,
c  variabile,Corynebacterium variabile,2,1727,CORRECT,,
c  xerosis,Corynebacterium xerosis,2,1725,CORRECT,,
abikoensis,Streptomyces abikoensis,0,97398,CORRECT,,
acidiscabies,Streptomyces acidiscabies,0,42234,CORRECT,,
acidophilus,Rhodoblastus acidophilus,0,1074,CORRECT,,
adhaesiva,Sphingomonas adhaesiva,0,28212,CORRECT,,
agalactlae,Streptococcus agalactiae,1,1311,CORRECT,,
alactolyticus,Streptococcus alactolyticus,0,29389,CORRECT,,
alactolyticus,Streptococcus alactolyticus,0,29389,CORRECT,,
Salana mumvorans,Salana multivorans,3,120377,CORRECT,,
albiaxialis,Streptomyces albiaxialis,0,329523,CORRECT,,
albidoflavus,Streptomyces albidoflavus,0,1886,CORRECT,,
albofaciens,Streptomyces albofaciens,0,66866,CORRECT,,
albogriseolus,Streptomyces albogriseolus,0,1887,CORRECT,,
albolongus,Streptomyces albolongus,0,68173,CORRECT,,
albulus,Streptomyces albulus,0,68570,CORRECT,,
algidipiscicola,Shewanella algidipiscicola,0,614070,CORRECT,,
almquistii,Streptomyces almquistii,0,67270,CORRECT,,
ambofaciens,Streptomyces ambofaciens,0,1889,CORRECT,,
amethystogenes,Streptosporangium amethystogenes,0,2002,CORRECT,,
aminophilus,Paracoccus aminophilus,0,34003,CORRECT,,
anginosus,Streptococcus anginosus,0,1328,CORRECT,,
antibioticus,Streptomyces antibioticus,0,1890,CORRECT,,
antimicrobica,Saccharopolyspora antimicrobica,0,455193,CORRECT,,
arenae,Streptomyces arenae,0,29301,CORRECT,,
arenae,Streptomyces arenae,0,29301,CORRECT,,
argenteolus,Streptomyces argenteolus,0,67274,CORRECT,,
arlettae,Staphylococcus arlettae,0,29378,CORRECT,,
armeniacus,Streptomyces armeniacus,0,83291,CORRECT,,
aureofaciens,Streptomyces aureofaciens,0,1894,CORRECT,,
aureus,Staphylococcus aureus,0,1280,CORRECT,,
auricularis,Staphylococcus auricularis,0,29379,CORRECT,,
avidinii,Streptomyces avidinii,0,1895,CORRECT,,
baarnensis,Streptomyces baarnensis,0,66872,CORRECT,,
bambergiensis,Streptomyces bambergiensis,0,33009,CORRECT,,
beijiangensis,Streptomyces beijiangensis,0,163361,CORRECT,,
benthica,Shewanella benthica,0,43661,CORRECT,,
bikiniensis,Streptomyces bikiniensis,0,1896,CORRECT,,
bikiniensis,Streptomyces bikiniensis,0,1896,CORRECT,,
bluensis,Streptomyces bluensis,0,33897,CORRECT,,
bobili,Streptomyces bobili,0,67280,CORRECT,,
cacaoi,Streptomyces cacaoi,0,1898,CORRECT,,
caelestis,Streptomyces caelestis,0,36816,CORRECT,,
cangkringensis,Streptomyces cangkringensis,0,114696,CORRECT,,
caniferus,Streptomyces caniferus,0,285557,CORRECT,,
caprae,Staphylococcus caprae,0,29380,CORRECT,,
carpaticus,Streptomyces carpaticus,0,285558,CORRECT,,
catenulae,Streptomyces catenulae,0,66875,CORRECT,,
cavourensis,Streptomyces cavourensis,0,67258,CORRECT,,
celluloflavus,Streptomyces celluloflavus,0,58344,CORRECT,,
chaltanoogensis,Streptomyces chattanoogensis,1,66876,CORRECT,,
chartreusis,Streptomyces chartreusis,0,1969,CORRECT,,
cheonanensis,Streptomyces cheonanensis,0,312720,CORRECT,,
Schineria larvae,Ignatzschineria larvae,1,112009,CORRECT,,
chrestomyceticus,Streptomyces chrestomyceticus,0,68185,CORRECT,,
cinereoruber,Streptomyces cinereoruber,0,67260,CORRECT,,
cinnamoneus,Streptomyces cinnamoneus,0,53446,CORRECT,,
coelicolor,Streptomyces coelicolor,0,1902,CORRECT,,
coeruleofuscus,Streptomyces coeruleofuscus,0,66879,CORRECT,,
coeruleorubidus,Streptomyces coeruleorubidus,0,116188,CORRECT,,
coerulescens,Streptomyces coerulescens,0,29304,CORRECT,,
collinus,Streptomyces collinus,0,42684,CORRECT,,
colwelliana,Shewanella colwelliana,0,23,CORRECT,,
corchorusii,Streptomyces corchorusii,0,1903,CORRECT,,
criceti,Streptococcus criceti,0,1333,CORRECT,,
cyaneus,Streptomyces cyaneus,0,1904,CORRECT,,
cyanoalbus,Streptomyces cyanoalbus,0,66884,CORRECT,,
dentirousetti,Streptococcus dentirousetti,0,384613,CORRECT,,
devriesei,Streptococcus devriesei,0,231233,CORRECT,,
diastatochromogenes,Streptomyces diastatochromogenes,0,42236,CORRECT,,
downei,Streptococcus downei,0,1317,CORRECT,,
downei,Streptococcus downei,0,1317,CORRECT,,
Sedimenticola selenatlreducens,Sedimenticola selenatireducens,1,191960,CORRECT,,
Sediminicala luteus,Sediminicola luteus,1,319238,CORRECT,,
ehimensis,Streptomyces ehimensis,0,68195,CORRECT,,
Selenamonas sputigena,Selenomonas sputigena,1,69823,CORRECT,,
enfssocaesilis,Streptomyces enissocaesilis,1,332589,CORRECT,,
entomophila,Serratia entomophila,0,42906,CORRECT,,
epidermidis,Staphylococcus epidermidis,0,1282,CORRECT,,
Serlnlbacter salmoneus,Serinibacter salmoneus,2,556530,CORRECT,,
Serratfa odorifera,Serratia odorifera,1,618,CORRECT,,
Serratia plymuthfca,Serratia plymuthica,1,82996,CORRECT,,
erythraea,Saccharopolyspora erythraea,0,1836,CORRECT,,
espanaensis,Saccharothrix espanaensis,0,103731,CORRECT,,
ferralitis,Streptomyces ferralitis,0,236510,CORRECT,,
ferus,Streptococcus ferus,0,1345,CORRECT,,
ferus,Streptococcus ferus,0,1345,CORRECT,,
ficaria,Serratia ficaria,0,61651,CORRECT,,
finlayi,Streptomyces finlayi,0,67296,CORRECT,,
flavofungini,Streptomyces flavofungini,0,68200,CORRECT,,
flavofuscus,Streptomyces flavofuscus,0,332582,CORRECT,,
flavogriseus,Streptomyces flavogriseus,0,67299,CORRECT,,
flavovirens,Streptomyces flavovirens,0,52258,CORRECT,,
fleurettii,Staphylococcus fleurettii,0,150056,CORRECT,,
fonticola,Serratia fonticola,0,47917,CORRECT,,
frigidimarina,Shewanella frigidimarina,0,56812,CORRECT,,
fulvissimus,Streptomyces fulvissimus,0,68202,CORRECT,,
fumanus,Streptomyces fumanus,0,67302,CORRECT,,
fumigatiscleroticus,Streptomyces fumigatiscleroticus,0,66371,CORRECT,,
galbus,Streptomyces galbus,0,33898,CORRECT,,
gallolytfcus,Streptococcus gallolyticus subsp. gallolyticus,1,53354,CORRECT,,
gelidimarina,Shewanella gelidimarina,0,56813,CORRECT,,
glacialipiscicola,Shewanella glacialipiscicola,0,614069,CORRECT,,
glauciniger,Streptomyces glauciniger,0,235986,CORRECT,,
globosus,Saccharomyces globosus,0,27290,CORRECT,,
gloriosae,Saccharopolyspora gloriosae,0,455344,CORRECT,,
gordonii,Streptococcus gordonii,0,1302,CORRECT,,
gordonii,Streptococcus gordonii,0,1302,CORRECT,,
goshikiensis,Streptomyces goshikiensis,0,1942,CORRECT,,
graminofaciens,Streptomyces graminofaciens,0,68212,CORRECT,,
grfseus,Streptomyces griseus,1,1911,CORRECT,,
grimesii,Serratia grimesii,0,82995,CORRECT,,
griseiniger,Streptomyces griseiniger,0,114688,CORRECT,,
griseobrunneus,Streptomyces griseobrunneus,0,66894,CORRECT,,
griseocarneus,Streptomyces griseocarneus,0,51201,CORRECT,,
griseolus,Streptomyces albogriseolus,0,1887,CORRECT,,
griseoviridis,Streptomyces griseoviridis,0,45398,CORRECT,,
griseus,Streptomyces griseus,0,1911,CORRECT,,
grlseochromogenes,Streptomyces griseochromogenes,1,68214,CORRECT,,
guanduensis,Streptomyces guanduensis,0,310781,CORRECT,,
hachijoensis,Streptomyces hachijoensis,0,66899,CORRECT,,
hafniensis,Shewanella hafniensis,0,365590,CORRECT,,
hanedai,Shewanella hanedai,0,25,CORRECT,,
hebeiensis,Streptomyces hebeiensis,0,229486,CORRECT,,
Shewanella ffdelis,Shewanella fidelis,1,173509,CORRECT,,
Shewanella frigidimarma,Shewanella frigidimarina,2,56812,CORRECT,,
Shewanella gelidimarma,Shewanella gelidimarina,2,56813,CORRECT,,
Shewanella pmfunda,Shewanella profunda,2,254793,CORRECT,,
Shimia manna,Shimia marina,2,321267,CORRECT,,
hirsuta,Saccharopolyspora hirsuta,0,1837,CORRECT,,
humiferus,Streptomyces humiferus,0,66372,CORRECT,,
hygroscopicus,Streptomyces hygroscopicus,0,1912,CORRECT,,
hyicus,Staphylococcus hyicus,0,1284,CORRECT,,
Sinomizobium medicae,Sinorhizobium medicae,2,110321,CORRECT,,
Sinomizobium meliloti,Sinorhizobium meliloti,2,382,CORRECT,,
Sinomizobium terangae,Sinorhizobium terangae,2,110322,CORRECT,,
Sinorhizobium kurnmerowiae,Sinorhizobium kummerowiae,2,158892,CORRECT,,
Sinorhizobium sahelense,Sinorhizobium saheli,4,36856,CORRECT,,
intennedius,Staphylococcus intermedius,2,1285,CORRECT,,
intermedfus,Staphylococcus intermedius,1,1285,CORRECT,,
intermedius,Staphylococcus intermedius,0,1285,CORRECT,,
kaireitica,Shewanella kaireitica,0,212021,CORRECT,,
kanamyceticus,Streptomyces kanamyceticus,0,1967,CORRECT,,
kasugaensis,Streptomyces kasugaensis,0,1946,CORRECT,,
kasugaensis,Streptomyces kasugaensis,0,1946,CORRECT,,
Skermanella parooensls,Skermanella parooensis,1,52762,CORRECT,,
Skermania pfnifomis,Skermania piniformis,2,39122,CORRECT,,
Skermania pinifonnis,Skermania piniformis,2,39122,CORRECT,,
kloosii,Staphylococcus kloosii,0,29384,CORRECT,,
kunmingensis,Streptomyces kunmingensis,0,68225,CORRECT,,
lavendulae,Streptomyces lavendulae,0,1914,CORRECT,,
limosus,Streptomyces limosus,0,1947,CORRECT,,
longisporus,Streptomyces longisporus,0,1948,CORRECT,,
lugdunensis,Staphylococcus lugdunensis,0,28035,CORRECT,,
luteoverticillatus,Streptomyces luteoverticillatus,0,66425,CORRECT,,
lydicus,Streptomyces lydicus,0,47763,CORRECT,,
mabaraensis,Streptomyces mobaraensis,1,35621,CORRECT,,
malaysiensis,Streptomyces malaysiensis,0,92644,CORRECT,,
marinintestina,Shewanella marinintestina,0,190305,CORRECT,,
mashuensis,Streptomyces mashuensis,0,33904,CORRECT,,
massasporeus,Streptomyces massasporeus,0,67324,CORRECT,,
mauvecolor,Streptomyces mauvecolor,0,58345,CORRECT,,
megasporus,Streptomyces megasporus,0,44060,CORRECT,,
melanosporofaciens,Streptomyces melanosporofaciens,0,67327,CORRECT,,
microflavus,Streptomyces microflavus,0,1919,CORRECT,,
monomycini,Streptomyces monomycini,0,371720,CORRECT,,
morookaensis,Streptomyces morookaense,2,1970,CORRECT,,
muscae,Staphylococcus muscae,0,1294,CORRECT,,
naraensis,Streptomyces naraensis,0,68241,CORRECT,,
nematodiphila,Serratia nematodiphila,0,458197,CORRECT,,
nitrosporeus,Streptomyces nitrosporeus,0,28894,CORRECT,,
nogalater,Streptomyces nogalater,0,38314,CORRECT,,
ochraceiscleroticus,Streptomyces ochraceiscleroticus,0,47761,CORRECT,,
olivaceoviridis,Streptomyces olivaceoviridis,0,1921,CORRECT,,
olivochromogenes,Streptomyces olivochromogenes,0,1963,CORRECT,,
olivoreticuli,Streptomyces olivoreticuli,0,68246,CORRECT,,
olivoviridis,Streptomyces olivoviridis,0,67338,CORRECT,,
oneidensis,Shewanella oneidensis,0,70863,CORRECT,,
orinoci,Streptomyces orinoci,0,67339,CORRECT,,
orisratti,Streptococcus orisratti,0,114652,CORRECT,,
parapaucimobilis,Sphingomonas parapaucimobilis,0,28213,CORRECT,,
parasanguinis,Streptococcus parasanguinis,0,1318,CORRECT,,
parasanguinis,Streptococcus parasanguinis,0,1318,CORRECT,,
Sparidiobolus salmonicolar,Sporidiobolus salmonicolor,2,5005,CORRECT,,
paucimobilis,Sphingomonas paucimobilis,0,13689,CORRECT,,
paucisporeus,Streptomyces paucisporeus,0,310782,CORRECT,,
pealeana,Shewanella pealeana,0,70864,CORRECT,,
Spencermarrinsiella europaea,Spencermartinsiella europaea,1,933994,CORRECT,,
peroris,Streptococcus peroris,0,68891,CORRECT,,
peucetius,Streptomyces peucetius,0,1950,CORRECT,,
peucetlus,Streptomyces peucetius,1,1950,CORRECT,,
phaeochromogenes,Streptomyces phaeochromogenes,0,1923,CORRECT,,
phaeoluteichromogenes,Streptomyces phaeoluteichromatogenes,2,114685,CORRECT,,
phaeopurpureus,Streptomyces phaeopurpureus,0,67340,CORRECT,,
Sphfngobacterium daejeonense,Sphingobacterium daejeonense,1,371142,CORRECT,,
Sphfngomonas molluscorum,Sphingomonas molluscorum,1,418184,CORRECT,,
Sphingnmnnas melonis,Sphingomonas melonis,2,152682,CORRECT,,
Sphingnmnnas pituitosa,Sphingomonas pituitosa,2,99597,CORRECT,,
Sphingobaclerium canadense,Sphingobacterium canadense,1,412448,CORRECT,,
Sphingobaclerium spiritivorum,Sphingobacterium spiritivorum,1,258,CORRECT,,
Sphingobactenum faecium,Sphingobacterium faecium,2,34087,CORRECT,,
Sphingobacterium multivomm,Sphingobacterium multivorum,2,28454,CORRECT,,
Sphingobacterium spiritivorurn,Sphingobacterium spiritivorum,2,258,CORRECT,,
Sphingobacteriurn thalpophilum,Sphingobacterium thalpophilum,2,259,CORRECT,,
Sphingobium japonioum,Sphingobium japonicum,1,332056,CORRECT,,
Sphingomanas haloaromaticamans,Sphingomonas haloaromaticamans,1,653954,CORRECT,,
Sphingomonas aemlata,Sphingomonas aerolata,2,185951,CORRECT,,
Sphingomonas aestuarrii,Sphingomonas aestuarii,1,453846,CORRECT,,
Sphingomonas faenia,Sphingomonas faeni,1,185950,CORRECT,,
Sphingomonas paucimoblis,Sphingomonas paucimobilis,1,13689,CORRECT,,
Sphingonicella microcystinivorans,Sphingosinicella microcystinivorans,2,335406,CORRECT,,
Sphingopyxis macrogoltabidus,Sphingopyxis macrogoltabida,2,33050,CORRECT,,
Sphingopyxls baekryungensis,Sphingopyxis baekryungensis,1,279369,CORRECT,,
Sphingornonas desiccabilis,Sphingomonas desiccabilis,2,429134,CORRECT,,
Sphingosinfcella micrncystinivorans,Sphingosinicella microcystinivorans,2,335406,CORRECT,,
Sphinopyxis terrae,Sphingopyxis terrae,1,33052,CORRECT,,
piezotolerans,Shewanella piezotolerans WP3,0,225849,CORRECT,,
Spirilloplanes yamanashiensis,Spirilliplanes yamanashiensis,1,42233,CORRECT,,
Spirochaeta coccoides,Sphaerochaeta coccoides,3,273376,CORRECT,,
Spiroplasma phoenioeum,Spiroplasma phoeniceum,1,47835,CORRECT,,
piscifermentans,Staphylococcus piscifermentans,0,70258,CORRECT,,
pituitosa,Sphingomonas pituitosa,0,99597,CORRECT,,
plymuthica,Serratia plymuthica,0,82996,CORRECT,,
Spnrobnlamyces carrzicolor,Sporobolomyces carnicolor,5,183959,CORRECT,,
Spombalomyces salmoneus,Sporobolomyces salmoneus,3,183962,CORRECT,,
poonensfs,Streptomyces poonensis,1,68255,CORRECT,,
Sporabacter termitidis,Sporobacter termitidis,1,44749,CORRECT,,
porcinus,Streptococcus porcinus,0,1340,CORRECT,,
Sporidiabolus micrusporus,Sporidiobolus microsporus,2,86835,CORRECT,,
Sporidiobalus pararoseus,Sporidiobolus pararoseus,1,5003,CORRECT,,
Sporobalomyces marcillae,Sporobolomyces marcillae,1,86827,CORRECT,,
Sporobnlomyces nylandii,Sporobolomyces nylandii,1,100910,CORRECT,,
Sporobolomyces adoratus,Sporobolomyces odoratus,1,168509,CORRECT,,
Sporobolomyces poansoakiae,Sporobolomyces poonsookiae,2,100911,CORRECT,,
Sporobolomyces roxeus,Sporobolomyces roseus,1,40563,CORRECT,,
Sporobolomyoes poonsookiae,Sporobolomyces poonsookiae,1,100911,CORRECT,,
Sporocytuphaga myxococcoides,Sporocytophaga myxococcoides,1,153721,CORRECT,,
Sporosarcina aqulmarina,Sporosarcina aquimarina,1,114975,CORRECT,,
Sporosarcina macmurdoensis,Paenisporosarcina macmurdoensis,1,212659,CORRECT,,
Sporosarclna ureae,Sporosarcina ureae,1,1571,CORRECT,,
prasinopilosus,Streptomyces prasinopilosus,0,67344,CORRECT,,
pseudintermedius,Staphylococcus pseudintermedius,0,283734,CORRECT,,
pseudovenezuelae,Streptomyces pseudovenezuelae,0,67350,CORRECT,,
pseudovulgare,Streptosporangium pseudovulgare,0,35765,CORRECT,,
psychrophila,Sporosarcina psychrophila,0,1476,CORRECT,,
purpurascens,Streptomyces purpurascens,0,1924,CORRECT,,
purpurogeneiscleroticus,Streptomyces purpurogeneiscleroticus,0,68259,CORRECT,,
putrefaciens,Shewanella putrefaciens,0,24,CORRECT,,
pyogenes,Streptococcus pyogenes,0,1314,CORRECT,,
qijiaojingensis,Saccharopolyspora qijiaojingensis,0,453831,CORRECT,,
rameus,Streptomyces rameus,0,68261,CORRECT,,
ramulosus,Streptomyces ramulosus,0,47762,CORRECT,,
ramulosus,Streptomyces ramulosus,0,47762,CORRECT,,
ratti,Streptococcus ratti,0,1341,CORRECT,,
rectivirgula,Saccharopolyspora rectivirgula,0,28042,CORRECT,,
resistomycificus,Streptomyces resistomycificus,0,67356,CORRECT,,
rhizosphaericus,Streptomyces rhizosphaericus,0,114699,CORRECT,,
rhizosphaerius,Streptomyces rhizosphaericus,1,114699,CORRECT,,
roseiflava,Sphingomonas roseiflava,0,76848,CORRECT,,
roseoverticillatus,Streptomyces roseoverticillatus,0,66429,CORRECT,,
roseoviolaceus,Streptomyces roseoviolaceus,0,67360,CORRECT,,
rubidaea,Serratia rubidaea,0,61652,CORRECT,,
rutgersensis,Streptomyces rutgersensis,0,53451,CORRECT,,
sairae,Shewanella sairae,0,190310,CORRECT,,
salivarius,Streptococcus salivarius,0,1304,CORRECT,,
sampsonii,Streptomyces sampsonii,0,42239,CORRECT,,
sanglieri,Streptomyces sanglieri,0,193460,CORRECT,,
sanguinis,Streptococcus sanguinis,0,1305,CORRECT,,
sanguinis,Streptococcus sanguinis,0,1305,CORRECT,,
scabiei,Streptomyces scabiei,0,1930,CORRECT,,
schlegeliana,Shewanella schlegeliana,0,190308,CORRECT,,
sclerotialus,Streptomyces sclerotialus,0,1957,CORRECT,,
seoulensis,Streptomyces seoulensis,0,73044,CORRECT,,
showdoensis,Streptomyces showdoensis,0,68268,CORRECT,,
simulans,Staphylococcus simulans,0,1286,CORRECT,,
sioyaensis,Streptomyces sioyaensis,0,67364,CORRECT,,
sobrinus,Streptococcus sobrinus,0,1310,CORRECT,,
sobrinus,Streptococcus sobrinus,0,1310,CORRECT,,
sodiiphilus,Streptomyces sodiiphilus,0,226217,CORRECT,,
sparsogenes,Streptomyces sparsogenes,0,67365,CORRECT,,
speibonae,Streptomyces speibonae,0,195801,CORRECT,,
spiroverticillatus,Streptomyces spiroverticillatus,0,67366,CORRECT,,
sporocinereus,Streptomyces sporocinereus,0,284037,CORRECT,,
sporoclivatus,Streptomyces sporoclivatus,0,284038,CORRECT,,
subrutilus,Streptomyces subrutilus,0,36818,CORRECT,,
surugensis,Shewanella surugensis,0,212020,CORRECT,,
taberi,Saccharopolyspora taberi,0,60895,CORRECT,,
taberi,Saccharopolyspora taberi,0,60895,CORRECT,,
tacrolimicus,Streptomyces tacrolimicus,0,330919,CORRECT,,
Staphylococcus galllnarum,Staphylococcus gallinarum,1,1293,CORRECT,,
Staphylococcus schleiferl,Staphylococcus schleiferi,1,1295,CORRECT,,
texasensfs,Saccharothrix texasensis,1,103734,CORRECT,,
thelmogriseus,Streptomyces thermogriseus,1,75292,CORRECT,,
thennocoprophilus,Streptomyces thermocoprophilus,2,78356,CORRECT,,
